"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CDKL1",1.91206659994403e-17,1.12171083454388,0.782,0.382,3.63311774655365e-13
"NCBP2",1.9683892797489e-17,-0.37984086089008,0.924,1,3.74013647045089e-13
"ABCC5",1.9982666991594e-17,-1.11550337614614,0.42,0.892,3.79690655507278e-13
"MTDH",2.06254736834513e-17,0.6386115042469,1,0.984,3.91904625459258e-13
"IL32",2.17881582945669e-17,2.87000586111531,0.504,0.081,4.13996795755066e-13
"MEX3A",2.34644102552484e-17,-0.750810346371991,0.773,0.989,4.45847259259975e-13
"NEIL1",2.36302452541914e-17,-1.34612618451741,0.336,0.823,4.48998290074891e-13
"MATN4",2.36868064497107e-17,2.25317887208643,0.605,0.156,4.50073009350953e-13
"TEAD2",2.54452260020822e-17,-0.64428185959996,0.672,0.957,4.83484739265563e-13
"CCNJL",2.57204705763524e-17,-0.699817295719065,0.63,0.952,4.88714661421271e-13
"HEXDC",2.74432796600182e-17,-0.486593699614798,0.782,0.978,5.21449756820005e-13
"EMP3",2.92624746715072e-17,0.802919362052378,0.992,0.898,5.56016281233308e-13
"RRP9",3.05694032403365e-17,-1.51929313680989,0.277,0.801,5.80849230969633e-13
"STEAP3",3.15547997375618e-17,2.06707573631213,0.605,0.172,5.99572749813411e-13
"ZNF347",3.17407718069468e-17,-1.31046602243449,0.336,0.812,6.03106405103796e-13
"SOX4",3.35416120344441e-17,-1.11512046495168,0.689,0.952,6.37324170266473e-13
"CFAP69",3.35768818389664e-17,-1.91824994351479,0.185,0.694,6.37994331822201e-13
"PBRM1",4.07317767061316e-17,-0.76518721716784,0.622,0.914,7.73944489193206e-13
"SHROOM2",4.41442263835626e-17,-1.15826568556648,0.395,0.833,8.38784445514074e-13
"WDR86",4.49261304851217e-17,-1.34726518393233,0.328,0.801,8.53641405347797e-13
"CCDC66",4.68542260224021e-17,-0.542898034511682,0.723,0.941,8.90277148651662e-13
"AGT",4.89904965715726e-17,2.30249389401203,0.605,0.156,9.3086842535645e-13
"TMEM205",4.90038553870263e-17,0.779025995242008,0.975,0.726,9.31122256208888e-13
"PSTK",5.16715065635996e-17,-1.38031681658229,0.319,0.806,9.81810296214956e-13
"TMEM199",5.43316692310635e-17,-0.366363832942262,0.849,0.989,1.03235604705944e-12
"SLC24A3",5.45419344358511e-17,-1.42675422943096,0.294,0.753,1.03635129621561e-12
"NT5DC2",5.47538419038274e-17,-1.1141158248121,0.471,0.849,1.04037775001462e-12
"PARP14",5.52580463058613e-17,-1.72351734061142,0.218,0.742,1.04995813785767e-12
"IFI16",5.6655956206542e-17,-0.556059933413903,0.832,0.989,1.0765198238805e-12
"ITGA6",5.67488176649237e-17,1.60879677149178,0.714,0.301,1.07828428445122e-12
"HMGA2",5.96855418626215e-17,-1.60643114464757,0.286,0.78,1.13408498093167e-12
"FAM171A2",6.22925250444518e-17,-0.490728797024103,0.731,0.925,1.18362026836963e-12
"ANKRD6",6.28453243458657e-17,-1.18856150111731,0.378,0.817,1.19412400789579e-12
"HOXD13",6.4567244646676e-17,-1.37619770758408,0.319,0.823,1.22684221553149e-12
"MXRA8",6.534201715347e-17,0.533380194780722,1,0.909,1.24156366793308e-12
"MIR181A2HG",6.91929436651951e-17,-1.9654019339113,0.168,0.661,1.31473512258237e-12
"ERICH6-AS1",7.59566389939007e-17,-1.29588649270146,0.336,0.806,1.44325209752311e-12
"CLDN12",9.38481844848503e-17,-0.868919680417616,0.538,0.919,1.78320935339664e-12
"FNDC1",1.04456749278867e-16,2.25992840367189,0.58,0.14,1.98478269304775e-12
"PLXNB1",1.11840937099519e-16,-1.84345973298049,0.185,0.715,2.12508964582796e-12
"SAT1",1.15071698789625e-16,0.895369544475819,0.924,0.677,2.18647734870167e-12
"SEMA4C",1.15274797232812e-16,-0.184009712312571,0.983,1,2.19033642222066e-12
"JARID2",1.15417886075103e-16,-0.953790088987179,0.529,0.919,2.19305525331303e-12
"DNAJC30",1.18890561424013e-16,-0.295743897691958,0.908,0.989,2.25903955761768e-12
"SHQ1",1.28880025787592e-16,-1.41656423571799,0.286,0.758,2.44884936999004e-12
"DPY19L2",1.29861817269089e-16,-1.03572466083185,0.412,0.828,2.46750438992995e-12
"DANT2",1.33405329302188e-16,-2.01412091178501,0.16,0.683,2.53483466207088e-12
"WDR82",1.50058154034687e-16,-0.793493478474559,0.588,0.925,2.85125498481309e-12
"VASH2",1.52105447427635e-16,-0.633421816602408,0.672,0.941,2.89015560657249e-12
"SP110",1.65529230288256e-16,-1.73850614145073,0.21,0.71,3.14522090470715e-12
"ZNF595",1.656088541246e-16,-0.290203870025221,0.866,0.995,3.14673383722152e-12
"NONO",1.88275264795746e-16,-0.61470582935084,1,1,3.57741830638396e-12
"TOR2A",1.92010503626282e-16,-0.927392246363806,0.454,0.849,3.64839157940299e-12
"KLHL23",1.94383476708553e-16,-1.32219767853628,0.328,0.785,3.69348044093922e-12
"SH3GLB2",1.96639591476673e-16,-0.774553481544513,0.546,0.909,3.73634887764827e-12
"SUMO2",2.0124841206526e-16,-0.708917805899564,1,1,3.823921077652e-12
