"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ELOVL5",0.0417594166762681,0.299717341213745,0.936,0.798,1
"LAT2",0.0417902499580322,-1.38727265018993,0.064,0.183,1
"SLFN13",0.041802579001697,-0.816016238823233,0.17,0.312,1
"NRAV",0.0419348019214031,0.610258213149106,0.596,0.385,1
"NDUFA7",0.0420656089129224,-0.753237662965512,0.213,0.385,1
"MYLIP",0.0420978700541236,-0.400975739111566,0.574,0.734,1
"TGM3",0.0422146987405634,1.40953610151713,0.17,0.064,1
"ABCC9",0.0422146987405634,1.37192008033168,0.17,0.064,1
"ZC3H7B",0.0422197879405002,0.199652101436787,0.936,0.862,1
"F2RL2",0.0423341347322704,-1.33816270172855,0.064,0.193,1
"DPP8",0.0425150193519498,-0.109572286446942,0.894,0.927,1
"GLIS3",0.0425328717590694,0.748448561205059,0.468,0.275,1
"TNFSF10",0.042537651827377,0.782550869084108,0.404,0.239,1
"UIMC1",0.0425712887373789,-0.134379212034021,0.915,0.991,1
"SRP54",0.0425743971357719,-0.128557196582182,0.957,1,1
"ATRAID",0.0425745607371253,0.147541102177705,1,1,1
